,age,job,education,default,balance,personal-loan,current-campaign,subscribed
302,56,blue-collar,secondary,no,345,no,1,no
303,35,blue-collar,secondary,no,1287,no,2,no
304,56,management,tertiary,no,353,yes,2,no
305,56,technician,secondary,no,205,yes,2,no
306,49,entrepreneur,secondary,no,687,no,1,yes
307,38,unemployed,primary,no,1147,yes,5,no
308,35,management,tertiary,no,4286,no,1,no
309,38,admin.,tertiary,no,605,no,2,no
310,49,blue-collar,secondary,no,8545,yes,7,no
311,55,management,tertiary,no,559,no,2,no
312,43,blue-collar,primary,no,2,no,3,no
313,43,management,tertiary,no,2,yes,2,no
314,25,admin.,tertiary,no,760,no,3,yes
315,30,blue-collar,primary,no,1317,no,2,no
316,46,blue-collar,secondary,no,182,no,1,no
317,50,admin.,primary,no,276,yes,6,no
318,35,entrepreneur,secondary,no,2971,no,4,yes
319,26,unemployed,secondary,no,1064,no,1,no
320,45,admin.,secondary,no,1783,no,11,no
321,37,blue-collar,secondary,no,-67,no,1,no
322,60,self-employed,tertiary,no,179,yes,4,no
323,38,management,tertiary,no,1199,no,1,yes
324,47,blue-collar,primary,no,214,yes,1,no
325,33,technician,secondary,no,6699,no,1,no
326,51,unemployed,secondary,no,1760,yes,1,no
327,35,entrepreneur,tertiary,no,145,no,2,yes
328,35,unemployed,secondary,no,978,no,3,yes
329,48,admin.,secondary,no,1150,no,1,no
330,37,admin.,secondary,no,121,no,6,no
331,29,technician,tertiary,no,828,no,3,no
332,34,admin.,secondary,no,244,no,4,no
333,32,services,primary,no,228,no,6,yes
334,30,management,tertiary,no,424,no,4,yes
335,47,management,tertiary,no,447,yes,1,no
336,33,blue-collar,primary,no,-195,no,1,no
337,33,management,tertiary,no,1410,no,1,no
338,63,retired,primary,no,1084,no,1,no
339,51,self-employed,primary,no,10924,no,2,no
340,41,management,tertiary,no,832,yes,1,no
341,56,retired,tertiary,no,478,no,1,no
342,60,management,tertiary,no,0,yes,1,no
343,41,self-employed,tertiary,no,3950,no,2,no
344,37,management,tertiary,no,504,no,1,no
345,36,blue-collar,secondary,no,219,yes,2,no
346,57,management,tertiary,no,1602,no,3,no
347,55,management,primary,no,2587,no,2,yes
348,44,admin.,secondary,no,0,yes,1,no
349,47,self-employed,tertiary,no,2303,no,2,no
350,31,blue-collar,secondary,no,1660,no,1,no
351,35,management,tertiary,yes,32,no,1,no
352,39,management,tertiary,no,278,yes,3,no
353,50,management,tertiary,no,4,no,1,no
354,29,management,tertiary,no,318,no,2,no
355,30,services,secondary,no,209,no,2,no
356,46,services,secondary,no,271,no,4,no
357,27,management,tertiary,no,3196,no,2,no
358,48,admin.,secondary,no,4099,no,2,yes
359,26,student,secondary,no,2572,no,1,no
360,36,management,tertiary,no,339,no,6,no
361,42,blue-collar,primary,no,0,yes,2,no
362,50,housemaid,primary,no,395,no,2,no
363,49,blue-collar,secondary,no,2039,no,2,no
364,45,management,tertiary,no,5450,no,2,no
365,23,student,secondary,no,780,no,1,no
366,38,technician,secondary,no,0,no,2,no
367,32,management,tertiary,no,8436,no,1,no
368,60,technician,primary,no,11262,no,1,yes
369,30,entrepreneur,secondary,no,946,no,1,no
370,58,housemaid,tertiary,no,497,no,5,no
371,60,retired,primary,no,55,no,1,no
372,38,services,secondary,no,-140,no,3,no
373,51,technician,secondary,no,-379,no,1,no
374,42,admin.,secondary,no,-396,no,1,no
375,30,services,secondary,no,0,no,6,no
376,40,management,primary,no,733,no,7,no
377,37,management,tertiary,no,393,no,3,yes
378,53,technician,primary,no,7290,no,1,no
379,27,services,secondary,no,468,no,1,no
380,39,blue-collar,secondary,no,0,no,1,no
381,39,blue-collar,primary,no,3705,no,1,no
382,59,retired,tertiary,no,9676,no,2,yes
383,37,services,secondary,no,1328,no,2,no
384,41,blue-collar,primary,no,8,no,2,no
385,45,blue-collar,primary,no,61,no,1,no
386,48,management,tertiary,no,6613,no,3,no
387,48,technician,secondary,no,302,no,3,no
388,32,blue-collar,secondary,no,1005,no,1,no
389,35,services,secondary,no,109,no,3,no
390,33,management,tertiary,no,1240,no,2,no
391,28,blue-collar,primary,no,0,yes,4,no
392,64,retired,secondary,no,2923,no,1,no
393,35,technician,secondary,no,0,no,4,no
394,33,blue-collar,secondary,no,43,no,2,no
395,41,technician,secondary,no,288,no,4,no
396,34,admin.,secondary,no,613,no,1,no
397,37,technician,tertiary,no,6101,no,5,no
398,38,blue-collar,primary,no,168,yes,3,no
399,39,blue-collar,primary,no,7685,no,3,no
400,35,technician,tertiary,no,4515,no,2,no
401,28,blue-collar,secondary,no,517,yes,1,yes
402,27,blue-collar,secondary,no,148,no,1,no
403,48,retired,primary,yes,-285,yes,1,no
404,50,blue-collar,secondary,no,887,no,1,no
405,45,self-employed,secondary,no,3098,no,2,no
406,41,technician,tertiary,no,744,no,1,no
407,39,technician,secondary,no,130,no,2,no
408,44,management,secondary,no,438,no,3,no
409,54,admin.,secondary,no,0,no,1,yes
410,49,management,tertiary,no,322,no,4,no
411,34,blue-collar,secondary,no,186,no,1,no
412,75,retired,tertiary,no,3810,no,1,yes
413,42,management,tertiary,no,0,no,2,no
414,53,blue-collar,secondary,no,4380,no,7,no
415,49,management,tertiary,no,755,no,4,yes
416,31,services,secondary,no,2070,no,2,no
417,45,blue-collar,primary,no,999,no,2,no
418,39,self-employed,secondary,no,167,yes,1,no
419,46,technician,secondary,no,1322,yes,1,no
420,42,admin.,secondary,no,1076,no,1,no
421,37,management,tertiary,no,502,no,1,no
422,26,technician,tertiary,no,1216,no,2,no
423,37,management,tertiary,no,876,no,4,no
424,36,services,secondary,no,342,no,1,no
425,29,blue-collar,primary,no,950,no,3,no
426,36,blue-collar,primary,no,973,yes,1,no
427,26,technician,tertiary,no,3825,no,1,no
428,32,blue-collar,secondary,no,2366,no,2,no
429,40,management,tertiary,no,542,no,1,no
430,53,management,primary,no,995,no,3,no
431,29,management,tertiary,no,20,no,1,no
432,34,technician,tertiary,no,228,no,4,no
433,43,blue-collar,secondary,no,130,no,1,no
434,56,management,tertiary,no,217,yes,2,no
435,55,entrepreneur,tertiary,no,0,no,2,no
436,31,self-employed,tertiary,no,259,no,1,no
437,27,admin.,secondary,no,619,no,5,no
438,36,management,secondary,no,644,no,2,no
439,44,management,tertiary,no,22,no,2,no
440,37,admin.,tertiary,no,4303,no,1,no
441,30,admin.,secondary,no,239,no,3,no
442,42,technician,secondary,no,275,no,8,no
443,30,management,tertiary,no,1221,no,4,yes
444,62,retired,secondary,no,816,no,2,no
445,24,blue-collar,secondary,no,1222,no,1,no
446,31,technician,secondary,no,2363,no,1,no
447,66,retired,tertiary,no,2262,no,1,no
448,47,admin.,secondary,no,2,no,1,no
449,39,entrepreneur,tertiary,no,2,no,1,no
450,35,technician,secondary,no,4508,no,1,yes
451,35,admin.,secondary,no,-402,no,1,no
452,27,technician,secondary,no,1577,yes,2,no
453,32,blue-collar,secondary,no,34,no,2,no
454,44,management,tertiary,no,795,no,24,no
455,42,blue-collar,secondary,no,117,no,1,no
456,34,self-employed,tertiary,no,5462,no,1,yes
457,25,services,secondary,no,402,yes,1,no
458,40,technician,secondary,no,641,no,6,no
459,43,management,tertiary,no,36,no,1,no
460,55,unemployed,tertiary,no,383,no,3,no
461,50,blue-collar,secondary,no,283,no,3,no
462,45,management,tertiary,no,0,no,1,no
463,35,blue-collar,secondary,no,3102,no,1,no
464,32,blue-collar,secondary,no,889,no,1,yes
465,59,housemaid,secondary,no,0,no,1,no
466,34,self-employed,secondary,no,-370,no,1,no
467,39,management,tertiary,no,-606,no,1,no
468,40,management,secondary,no,10378,no,3,no
469,36,blue-collar,primary,no,1313,no,10,no
470,40,management,tertiary,no,8969,no,1,no
471,55,self-employed,secondary,no,-196,no,2,no
472,38,entrepreneur,secondary,yes,15,no,1,no
473,61,admin.,secondary,no,4608,no,1,yes
474,41,management,tertiary,no,666,no,3,no
475,57,blue-collar,primary,no,452,no,4,no
476,48,blue-collar,secondary,no,149,no,1,no
477,77,retired,tertiary,no,7802,no,1,yes
478,35,services,secondary,no,1453,no,1,no
479,54,blue-collar,secondary,no,1480,no,1,no
480,37,management,tertiary,no,715,no,2,no
481,56,management,secondary,no,237,no,4,no
482,40,technician,secondary,no,694,no,4,no
483,40,management,tertiary,no,0,no,8,no
484,54,management,tertiary,no,55,no,2,no
485,55,housemaid,primary,no,136,no,10,no
486,55,services,secondary,yes,-404,no,3,no
487,52,blue-collar,primary,no,779,no,3,no
488,55,blue-collar,primary,no,1187,no,2,no
489,33,management,tertiary,no,641,no,2,no
490,52,blue-collar,secondary,no,826,no,2,no
491,33,services,secondary,no,991,no,1,no
492,53,admin.,secondary,no,1796,no,1,yes
493,46,admin.,secondary,no,22,no,6,yes
494,44,technician,secondary,no,244,no,4,yes
495,48,management,tertiary,no,1328,no,1,no
496,50,housemaid,secondary,no,7317,no,1,no
497,34,technician,secondary,no,4943,yes,2,no
498,38,technician,secondary,no,258,yes,2,no
499,42,management,tertiary,no,515,no,2,no
500,32,management,tertiary,no,12607,no,5,no
501,58,admin.,secondary,no,2,yes,9,no
502,31,management,tertiary,no,13,no,5,no
503,19,student,primary,no,103,no,2,yes
504,41,management,tertiary,no,3872,no,1,no
505,31,unemployed,secondary,no,296,no,3,no
506,52,self-employed,primary,no,217,yes,6,no
507,42,self-employed,tertiary,no,360,no,5,no
508,41,blue-collar,secondary,no,428,no,1,no
509,30,blue-collar,secondary,no,315,no,1,yes
510,38,blue-collar,secondary,no,121,yes,1,no
511,32,management,tertiary,no,820,no,3,no
512,52,technician,secondary,no,195,no,1,yes
513,48,management,tertiary,no,108,no,2,no
514,36,management,tertiary,no,-381,no,29,no
515,45,unemployed,primary,no,757,no,1,no
516,34,technician,tertiary,no,691,yes,1,no
517,36,blue-collar,primary,no,1925,no,2,yes
518,34,management,tertiary,no,902,no,1,no
519,61,retired,secondary,no,5207,no,1,no
520,54,services,secondary,no,0,no,1,no
521,50,entrepreneur,secondary,no,665,no,1,no
522,43,admin.,secondary,no,738,no,4,no
523,47,blue-collar,primary,no,233,no,3,no
524,45,services,secondary,no,-839,no,1,no
525,57,retired,primary,no,5799,no,1,no
526,27,admin.,secondary,no,1033,no,1,no
527,49,unemployed,secondary,no,66,no,3,no
528,43,services,primary,no,2567,no,1,no
529,40,management,tertiary,no,1584,no,1,no
530,32,services,secondary,no,182,no,1,no
531,58,management,primary,no,76,no,4,no
532,34,admin.,secondary,no,663,no,1,no
533,46,technician,secondary,no,3455,no,2,no
534,29,blue-collar,secondary,no,15,no,1,no
535,52,blue-collar,primary,no,1054,no,1,no
536,45,management,tertiary,no,1529,no,1,no
537,26,management,secondary,no,63,no,4,no
538,40,technician,tertiary,no,0,no,1,no
539,41,admin.,secondary,no,920,yes,1,no
540,47,admin.,secondary,no,3696,no,2,yes
541,27,technician,secondary,no,59,no,4,no
542,27,services,secondary,no,0,no,13,no
543,48,blue-collar,secondary,no,157,no,1,no
544,49,admin.,secondary,no,2465,no,3,no
545,35,blue-collar,primary,no,0,no,6,no
546,47,self-employed,secondary,yes,2,no,2,no
547,54,management,tertiary,no,0,no,5,no
548,39,management,tertiary,no,12437,no,1,no
549,28,student,secondary,no,378,no,1,no
550,54,blue-collar,primary,no,211,no,2,no
551,34,technician,secondary,no,-228,no,3,no
552,63,retired,secondary,no,2747,no,1,no
553,42,self-employed,tertiary,no,1932,no,32,no
554,43,technician,secondary,no,11269,no,1,no
555,37,admin.,secondary,no,1314,no,2,no
556,55,blue-collar,primary,no,2275,no,9,no
557,43,management,tertiary,no,1304,no,2,yes
558,41,blue-collar,secondary,yes,720,yes,1,yes
559,47,technician,secondary,no,2914,no,13,no
560,34,technician,secondary,no,1464,no,1,no
561,28,student,secondary,no,11555,no,2,no
562,36,services,secondary,no,-302,no,2,no
563,50,technician,secondary,no,2497,no,1,no
564,35,blue-collar,secondary,no,-339,no,2,no
565,40,technician,secondary,no,56,yes,1,no
566,26,self-employed,tertiary,no,211,no,3,no
567,36,management,tertiary,no,3611,no,3,no
568,59,unemployed,primary,no,0,no,2,no
569,28,student,secondary,no,459,no,13,no
570,46,entrepreneur,secondary,no,242,no,2,no
571,50,self-employed,secondary,no,1138,no,10,no
572,53,management,tertiary,no,1319,no,1,no
573,81,retired,secondary,no,1,no,5,no
574,35,services,secondary,no,67,no,2,no
575,58,retired,secondary,no,937,no,1,no
576,44,services,secondary,no,0,yes,1,no
577,38,management,tertiary,no,-558,no,1,no
578,49,blue-collar,secondary,no,171,no,3,no
579,33,technician,tertiary,no,696,yes,1,no
580,29,management,tertiary,no,361,yes,3,no
581,28,technician,secondary,no,227,no,1,yes
582,31,admin.,secondary,no,236,yes,3,no
583,33,management,tertiary,no,-53,no,2,no
584,52,technician,secondary,no,192,no,2,no
585,43,management,tertiary,no,38,no,6,no
586,32,self-employed,secondary,no,518,no,7,no
587,36,self-employed,tertiary,no,16,yes,4,no
588,41,blue-collar,secondary,no,-256,no,2,no
589,43,blue-collar,secondary,no,105,yes,2,no
590,45,self-employed,tertiary,no,334,no,2,no
591,39,technician,secondary,no,1048,yes,1,no
592,41,services,secondary,no,108,yes,7,no
593,31,technician,secondary,no,660,no,1,no
594,37,unemployed,tertiary,yes,0,no,1,no
595,28,entrepreneur,secondary,no,1034,no,1,no
596,47,housemaid,primary,no,201,no,2,no
597,37,housemaid,primary,no,189,no,4,no
598,60,retired,secondary,no,-49,no,1,no
599,43,technician,secondary,no,1413,no,3,no
600,58,retired,tertiary,no,264,yes,3,no
601,52,entrepreneur,tertiary,no,54,yes,1,no
602,50,blue-collar,primary,no,12519,no,2,no
603,32,services,secondary,no,2881,no,1,yes
604,42,blue-collar,primary,no,0,no,1,no
605,31,admin.,secondary,no,88,yes,2,no
606,28,blue-collar,secondary,no,1020,no,1,no
607,36,technician,tertiary,no,119,no,8,no
608,51,unemployed,tertiary,no,1594,no,1,no
609,46,technician,tertiary,no,342,yes,1,no
610,50,services,secondary,no,72,no,2,no
611,32,blue-collar,secondary,no,14,no,1,no
612,26,entrepreneur,tertiary,no,81,no,3,no
613,41,self-employed,tertiary,no,231,no,2,yes
614,39,technician,tertiary,no,1161,no,1,no
