,age,job,education,default,balance,personal_loan,Current_campaign
144,42,0,1,0,585,1,1
145,35,4,2,0,380,1,1
146,56,5,0,0,1512,1,8
147,48,9,1,0,1199,0,4
148,46,0,1,0,450,0,3
149,37,9,1,0,649,0,2
150,41,2,1,0,363,0,1
151,36,4,2,0,695,1,2
152,45,10,0,1,151,1,0
153,55,2,1,0,2214,0,1
154,39,9,1,0,749,0,0
155,35,9,1,0,570,0,1
156,55,0,1,0,824,0,2
157,55,9,1,0,539,0,2
158,27,6,1,0,324,0,0
159,34,9,1,0,1427,0,0
160,34,1,2,0,294,0,0
161,25,0,1,0,2010,0,1
162,41,0,1,0,146,1,2
163,43,7,1,0,1093,1,1
164,28,4,2,0,354,0,1
165,31,0,1,0,1569,0,0
166,78,3,1,0,747,0,3
167,45,1,1,0,1261,0,1
168,48,9,2,0,572,0,0
169,32,1,1,0,1192,1,0
170,42,9,1,0,1775,0,2
171,37,4,2,0,311,0,1
172,40,0,1,0,712,1,0
173,32,0,1,0,1128,0,0
174,42,4,2,0,2241,0,1
175,43,0,1,0,78,1,0
176,44,0,1,0,2072,1,6
177,37,0,1,0,447,0,1
178,37,4,2,0,1451,0,0
179,37,0,2,0,274,0,1
180,28,9,2,0,443,1,1
181,32,7,1,0,274,1,1
182,34,0,1,0,2170,0,4
183,40,0,1,0,280,0,0
184,34,7,1,0,232,0,2
185,34,6,2,0,1534,0,1
186,34,0,2,0,1046,0,2
187,37,7,1,0,295,0,0
188,36,9,1,0,297,0,1
189,56,5,1,0,9,0,1
190,49,1,0,0,274,1,5
191,33,6,1,0,485,0,11
192,30,4,2,0,1311,0,1
193,36,7,1,0,1537,0,1
194,23,8,1,0,2247,0,1
195,57,5,1,0,313,0,2
196,27,1,1,0,2100,0,1
197,38,7,1,0,275,1,1
198,42,9,2,0,965,0,0
199,75,5,1,0,1906,0,0
200,34,9,2,0,1103,0,0
201,48,9,1,0,1374,0,1
202,35,9,2,0,1710,0,1
203,39,4,2,0,1285,0,3
204,29,1,2,0,707,0,0
205,45,9,2,0,274,0,1
206,42,9,1,0,1550,1,0
207,29,9,1,0,1412,0,0
208,38,7,1,0,173,0,0
209,56,5,1,0,1295,0,13
210,36,9,1,0,2245,0,2
211,25,1,1,0,112,0,2
212,38,9,2,0,686,0,1
213,57,6,1,0,2281,0,0
214,31,4,2,1,149,0,3
215,42,4,2,0,632,0,1
216,45,9,1,0,1326,0,1
217,30,1,1,0,1090,0,1
218,49,1,0,0,567,1,9
219,49,7,1,0,656,0,2
220,53,5,2,0,256,0,2
221,37,9,1,0,1945,0,4
222,49,1,0,0,625,0,1
223,41,6,0,0,474,0,6
224,54,4,0,0,1446,0,0
225,32,7,1,0,662,0,0
226,33,9,1,0,170,0,2
227,33,9,1,0,619,0,0
228,36,1,0,0,397,0,0
229,35,9,2,0,274,1,0
230,52,4,1,0,415,0,5
231,40,2,2,0,1873,0,2
232,44,9,1,0,307,0,2
233,45,1,1,0,274,0,1
234,30,8,1,0,1796,0,0
235,48,9,1,1,294,0,2
236,33,1,1,0,1876,0,0
237,57,9,1,0,476,0,2
238,57,3,0,0,2177,0,2
239,51,10,2,0,1425,0,3
240,34,0,1,0,275,0,6
241,50,6,2,0,1941,0,2
242,44,4,2,0,1905,0,11
243,27,0,1,0,152,1,1
244,50,1,1,0,828,0,1
245,36,4,2,0,274,0,0
246,42,4,1,0,178,0,1
247,32,10,1,0,274,0,1
248,42,4,2,0,734,0,1
249,43,9,1,0,274,1,1
250,31,4,2,0,651,0,2
251,32,4,2,0,1638,0,4
252,55,1,0,0,665,1,1
253,58,5,0,0,1848,0,2
254,46,1,0,0,492,0,1
255,55,1,1,0,1100,1,3
256,34,4,2,0,670,1,1
257,28,10,1,0,290,0,3
258,42,9,2,0,2182,0,1
259,29,1,1,0,732,1,2
260,54,3,1,0,479,1,0
261,32,9,1,0,274,0,1
262,39,9,2,0,2114,0,2
263,53,2,2,0,842,1,3
264,58,9,2,0,1037,0,0
265,40,6,1,0,1368,1,0
266,29,8,1,0,1029,0,0
267,33,9,2,0,14,1,2
268,38,0,1,0,1049,0,12
269,56,7,1,0,1110,0,5
270,40,7,1,0,274,0,0
271,24,1,1,0,445,1,0
272,46,4,1,0,2285,0,2
273,35,6,1,0,766,0,3
274,35,1,2,0,274,0,3
275,34,9,1,0,278,0,0
276,35,3,2,0,2275,0,1
277,38,9,2,0,274,0,1
278,50,1,0,0,2110,0,2
279,51,1,0,0,311,0,0
280,59,6,2,0,818,0,1
281,32,1,1,0,1196,0,0
282,37,1,1,0,1872,0,0
283,42,0,1,0,337,0,5
284,40,8,1,0,527,0,5
285,28,9,2,0,1613,0,0
286,47,0,1,0,1149,0,2
287,27,6,1,0,164,0,1
288,41,4,2,0,323,0,4
289,34,0,2,0,343,1,2
290,50,1,0,0,1957,0,1
291,47,1,1,0,730,0,1
292,53,7,1,0,2053,0,5
293,53,9,1,0,274,1,4
294,47,4,2,0,1892,0,1
295,49,2,1,1,37,0,1
296,29,4,2,0,703,0,0
297,45,1,0,0,129,0,0
298,38,2,1,0,818,1,23
299,32,1,1,0,944,0,4
300,70,5,0,0,2002,0,0
301,65,5,0,0,1491,0,1
302,56,1,1,0,606,0,0
303,35,1,1,0,1272,0,1
304,56,4,2,0,614,1,1
305,56,9,1,0,475,1,1
306,49,2,1,0,892,0,0
307,38,10,0,0,1195,1,4
308,35,4,2,0,1977,0,0
309,38,0,2,0,827,0,1
310,49,1,1,0,2230,1,6
311,55,4,2,0,791,0,1
312,43,1,0,0,276,0,2
313,43,4,2,0,276,1,1
314,25,0,2,0,945,0,2
315,30,1,0,0,1286,0,1
316,46,1,1,0,453,0,0
317,50,0,0,0,541,1,5
318,35,2,1,0,1771,0,3
319,26,10,1,0,1152,0,0
320,45,0,1,0,1473,0,10
321,37,1,1,0,230,0,0
322,60,6,2,0,450,1,3
323,38,4,2,0,1229,0,0
324,47,1,0,0,484,1,0
325,33,9,1,0,2154,0,0
326,51,10,1,0,1468,1,0
327,35,2,2,0,418,0,1
328,35,10,1,0,1093,0,2
329,48,0,1,0,1198,0,0
330,37,0,1,0,395,0,5
331,29,9,2,0,1001,0,2
332,34,0,1,0,511,0,3
333,32,7,0,0,498,0,5
334,30,4,2,0,678,0,3
335,47,4,2,0,700,1,0
336,33,1,0,0,174,0,0
337,33,4,2,0,1326,0,0
338,63,5,0,0,1163,0,0
339,51,6,0,0,2273,0,1
340,41,4,2,0,1002,1,0
341,56,5,2,0,728,0,0
342,60,4,2,0,274,1,0
343,41,6,2,0,1933,0,1
344,37,4,2,0,751,0,0
345,36,1,1,0,489,1,1
346,57,4,2,0,1414,0,2
347,55,4,0,0,1693,0,1
348,44,0,1,0,274,1,0
349,47,6,2,0,1624,0,1
350,31,1,1,0,1431,0,0
351,35,4,2,1,306,0,0
352,39,4,2,0,542,1,2
353,50,4,2,0,278,0,0
354,29,4,2,0,580,0,1
355,30,7,1,0,479,0,1
356,46,7,1,0,537,0,3
357,27,4,2,0,1813,0,1
358,48,0,1,0,1955,0,1
359,26,8,1,0,1690,0,0
360,36,4,2,0,600,0,5
361,42,1,0,0,274,1,1
362,50,3,0,0,651,0,1
363,49,1,1,0,1554,0,1
364,45,4,2,0,2092,0,1
365,23,8,1,0,963,0,0
366,38,9,1,0,274,0,1
367,32,4,2,0,2227,0,0
368,60,9,0,0,2276,0,0
369,30,2,1,0,1073,0,0
370,58,3,2,0,745,0,4
371,60,5,0,0,329,0,0
372,38,7,1,0,192,0,2
373,51,9,1,0,105,0,0
374,42,0,1,0,99,0,0
375,30,7,1,0,274,0,5
376,40,4,0,0,924,0,6
377,37,4,2,0,650,0,2
378,53,9,0,0,2185,0,0
379,27,7,1,0,718,0,0
380,39,1,1,0,274,0,0
381,39,1,0,0,1896,0,0
382,59,5,2,0,2256,0,1
383,37,7,1,0,1293,0,1
384,41,1,0,0,282,0,1
385,45,1,0,0,335,0,0
386,48,4,2,0,2150,0,2
387,48,9,1,0,565,0,2
388,32,1,1,0,1109,0,0
389,35,7,1,0,383,0,2
390,33,4,2,0,1250,0,1
391,28,1,0,0,274,1,3
392,64,5,1,0,1762,0,0
393,35,9,1,0,274,0,3
394,33,1,1,0,317,0,1
395,41,9,1,0,551,0,3
396,34,0,1,0,833,0,0
397,37,9,2,0,2132,0,4
398,38,1,0,0,439,1,2
399,39,1,0,0,2195,0,2
400,35,9,2,0,2001,0,1
401,28,1,1,0,761,1,0
402,27,1,1,0,421,0,0
403,48,5,0,1,140,1,0
404,50,1,1,0,1038,0,0
405,45,6,1,0,1797,0,1
406,41,9,2,0,931,0,0
407,39,9,1,0,403,0,1
408,44,4,1,0,692,0,2
409,54,0,1,0,274,0,0
410,49,4,2,0,584,0,3
411,34,1,1,0,457,0,0
412,75,5,2,0,1913,0,0
413,42,4,2,0,274,0,1
414,53,1,1,0,1986,0,6
415,49,4,2,0,941,0,3
416,31,7,1,0,1560,0,1
417,45,1,0,0,1108,0,1
418,39,6,1,0,438,1,0
419,46,9,1,0,1289,1,0
420,42,0,1,0,1161,0,0
421,37,4,2,0,750,0,0
422,26,9,2,0,1238,0,1
423,37,4,2,0,1031,0,3
424,36,7,1,0,603,0,0
425,29,1,0,0,1076,0,2
426,36,1,0,0,1089,1,0
427,26,9,2,0,1915,0,0
428,32,1,1,0,1642,0,1
429,40,4,2,0,777,0,0
430,53,4,0,0,1105,0,2
431,29,4,2,0,294,0,0
432,34,9,2,0,498,0,3
433,43,1,1,0,403,0,0
434,56,4,2,0,487,1,1
435,55,2,2,0,274,0,1
436,31,6,2,0,526,0,0
437,27,0,1,0,837,0,4
438,36,4,1,0,861,0,1
439,44,4,2,0,296,0,1
440,37,0,2,0,1979,0,0
441,30,0,1,0,508,0,2
442,42,9,1,0,540,0,7
443,30,4,2,0,1242,0,3
444,62,5,1,0,990,0,1
445,24,1,1,0,1243,0,0
446,31,9,1,0,1641,0,0
447,66,5,2,0,1612,0,0
448,47,0,1,0,276,0,0
449,39,2,2,0,276,0,0
450,35,9,1,0,2000,0,0
451,35,0,1,0,96,0,0
452,27,9,1,0,1401,1,1
453,32,1,1,0,308,0,1
454,44,4,2,0,975,0,23
455,42,1,1,0,391,0,0
456,34,6,2,0,2093,0,0
457,25,7,1,0,658,1,0
458,40,9,1,0,858,0,5
459,43,4,2,0,310,0,0
460,55,10,2,0,642,0,2
461,50,1,1,0,546,0,2
462,45,4,2,0,274,0,0
463,35,1,1,0,1798,0,0
464,32,1,1,0,1040,0,0
465,59,3,1,0,274,0,0
466,34,6,1,0,108,0,0
467,39,4,2,0,50,0,0
468,40,4,1,0,2264,0,2
469,36,1,0,0,1283,0,9
470,40,4,2,0,2240,0,0
471,55,6,1,0,173,0,1
472,38,2,1,1,289,0,0
473,61,0,1,0,2011,0,0
474,41,4,2,0,878,0,2
475,57,1,0,0,704,0,3
476,48,1,1,0,422,0,0
477,77,5,2,0,2203,0,0
478,35,7,1,0,1343,0,0
479,54,1,1,0,1354,0,0
480,37,4,2,0,913,0,1
481,56,4,1,0,506,0,3
482,40,9,1,0,898,0,3
483,40,4,2,0,274,0,7
484,54,4,2,0,329,0,1
485,55,3,0,0,409,0,9
486,55,7,1,1,95,0,2
487,52,1,0,0,962,0,2
488,55,1,0,0,1223,0,1
489,33,4,2,0,858,0,1
490,52,1,1,0,999,0,1
491,33,7,1,0,1102,0,0
492,53,0,1,0,1478,0,0
493,46,0,1,0,296,0,5
494,44,9,1,0,511,0,3
495,48,4,2,0,1293,0,0
496,50,3,1,0,2186,0,0
497,34,9,1,0,2049,1,1
498,38,9,1,0,525,1,1
499,42,4,2,0,759,0,1
500,32,4,2,0,2291,0,4
501,58,0,1,0,276,1,8
502,31,4,2,0,287,0,4
503,19,8,0,0,377,0,1
504,41,4,2,0,1918,0,0
505,31,10,1,0,559,0,2
506,52,6,0,0,487,1,5
507,42,6,2,0,620,0,4
508,41,1,1,0,682,0,0
509,30,1,1,0,577,0,0
510,38,1,1,0,395,1,0
511,32,4,2,0,994,0,2
512,52,9,1,0,465,0,0
513,48,4,2,0,382,0,1
514,36,4,2,0,104,0,26
515,45,10,0,0,943,0,0
516,34,9,2,0,896,1,0
517,36,1,0,0,1518,0,1
518,34,4,2,0,1049,0,0
519,61,5,1,0,2075,0,0
520,54,7,1,0,274,0,0
521,50,2,1,0,877,0,0
522,43,0,1,0,926,0,3
523,47,1,0,0,503,0,2
524,45,7,1,0,28,0,0
525,57,5,0,0,2112,0,0
526,27,0,1,0,1130,0,0
527,49,10,1,0,340,0,2
528,43,7,0,0,1687,0,0
529,40,4,2,0,1405,0,0
530,32,7,1,0,453,0,0
531,58,4,0,0,350,0,3
532,34,0,1,0,875,0,0
533,46,9,1,0,1858,0,1
534,29,1,1,0,289,0,0
535,52,1,0,0,1145,0,0
536,45,4,2,0,1375,0,0
537,26,4,1,0,337,0,3
538,40,9,2,0,274,0,0
539,41,0,1,0,1056,1,0
540,47,0,1,0,1894,0,1
541,27,9,1,0,333,0,3
542,27,7,1,0,274,0,12
543,48,1,1,0,430,0,0
544,49,0,1,0,1663,0,2
545,35,1,0,0,274,0,5
546,47,6,1,1,276,0,1
547,54,4,2,0,274,0,4
548,39,4,2,0,2287,0,0
549,28,8,1,0,638,0,0
550,54,1,0,0,481,0,1
551,34,9,1,0,161,0,2
552,63,5,1,0,1728,0,0
553,42,6,2,0,1522,0,29
554,43,9,1,0,2277,0,0
555,37,0,1,0,1284,0,1
556,55,1,0,0,1615,0,8
557,43,4,2,0,1278,0,1
558,41,1,1,1,917,1,0
559,47,9,1,0,1759,0,12
560,34,9,1,0,1345,0,0
561,28,8,1,0,2282,0,1
562,36,7,1,0,133,0,1
563,50,9,1,0,1669,0,0
564,35,1,1,0,115,0,1
565,40,9,1,0,330,1,0
566,26,6,2,0,481,0,2
567,36,4,2,0,1880,0,2
568,59,10,0,0,274,0,1
569,28,8,1,0,709,0,12
570,46,2,1,0,509,0,1
571,50,6,1,0,1188,0,9
572,53,4,2,0,1288,0,0
573,81,5,1,0,275,0,4
574,35,7,1,0,341,0,1
575,58,5,1,0,1068,0,0
576,44,7,1,0,274,1,0
577,38,4,2,0,60,0,0
578,49,1,1,0,442,0,2
579,33,9,2,0,900,1,0
580,29,4,2,0,621,1,2
581,28,9,1,0,497,0,0
582,31,0,1,0,505,1,2
583,33,4,2,0,237,0,1
584,52,9,1,0,463,0,1
585,43,4,2,0,312,0,5
586,32,6,1,0,762,0,6
587,36,6,2,0,290,1,3
588,41,1,1,0,146,0,1
589,43,1,1,0,379,1,1
590,45,6,2,0,596,0,1
591,39,9,1,0,1140,1,0
592,41,7,1,0,382,1,6
593,31,9,1,0,873,0,0
594,37,10,2,1,274,0,0
595,28,2,1,0,1131,0,0
596,47,3,0,0,471,0,1
597,37,3,0,0,460,0,3
598,60,5,1,0,240,0,0
599,43,9,1,0,1328,0,2
600,58,5,2,0,531,1,2
601,52,2,2,0,328,1,0
602,50,1,0,0,2288,0,1
603,32,7,1,0,1751,0,0
604,42,1,0,0,274,0,0
605,31,0,1,0,362,1,1
606,28,1,1,0,1121,0,0
607,36,9,2,0,393,0,7
608,51,10,2,0,1410,0,0
609,46,9,2,0,603,1,0
610,50,7,1,0,346,0,1
611,32,1,1,0,288,0,0
612,26,2,2,0,355,0,2
613,41,6,2,0,501,0,1
614,39,9,2,0,1206,0,0
615,31,1,1,0,243,0,0
616,28,4,2,0,501,1,1
617,31,4,1,0,310,0,1
618,30,9,2,0,1397,0,0
619,35,9,2,0,2175,0,2
620,33,1,0,0,1895,0,1
621,30,9,2,0,2151,0,7
622,32,1,1,0,219,0,0
623,40,4,2,0,1364,0,0
624,31,6,2,0,1185,0,1
625,36,9,1,0,419,1,1
626,33,4,2,0,2255,0,0
627,57,5,1,0,634,1,0
628,45,9,1,0,362,0,1
629,59,4,2,0,1731,0,0
630,30,4,2,0,276,1,7
631,33,9,2,0,2211,0,0
632,52,1,1,0,552,0,12
633,83,5,1,0,274,0,9
634,58,6,2,0,1316,0,0
635,33,4,2,1,544,1,0
636,41,1,0,0,1596,0,4
637,31,6,1,0,307,0,3
638,35,1,1,0,540,1,4
639,27,4,2,0,906,0,2
640,57,0,1,0,1038,0,7
641,56,4,2,0,274,0,1
642,53,0,1,0,1219,0,1
643,39,4,2,0,1730,0,1
644,32,2,2,0,1041,1,9
645,46,6,1,0,781,0,3
646,56,9,2,0,538,0,1
647,46,4,2,0,2138,0,2
648,29,2,1,0,449,0,3
649,60,4,0,0,519,1,1
650,33,3,2,0,2342,0,1
651,27,2,2,0,355,0,0
652,50,6,2,0,333,0,1
653,45,7,1,0,1301,1,0
654,58,5,1,0,495,0,5
655,59,5,0,0,274,0,6
656,58,5,0,0,1678,0,5
657,64,5,0,0,317,0,0
658,47,9,1,0,331,0,0
659,40,4,2,0,204,0,1
660,36,9,1,0,878,1,0
661,28,4,2,0,274,0,4
662,38,9,2,0,299,0,1
663,53,2,0,0,1131,0,1
664,46,1,1,0,586,0,5
665,54,9,1,0,274,0,0
666,32,4,2,0,274,0,0
667,55,4,0,0,839,1,0
668,55,5,1,0,411,0,0
669,56,9,1,0,1948,1,3
670,40,1,1,0,2274,0,0
671,44,9,1,0,572,0,0
672,32,2,1,0,347,0,0
673,33,4,2,0,1481,0,3
674,41,10,1,0,1268,0,2
675,37,9,1,0,338,0,3
676,58,4,2,0,276,0,2
677,52,1,1,0,334,1,1
678,49,7,1,0,406,0,5
679,44,3,0,0,1897,0,2
680,28,0,1,0,445,0,0
681,31,9,1,0,518,1,1
682,37,6,1,0,1962,0,15
683,30,9,2,0,1099,0,1
684,28,7,1,0,439,0,2
685,46,7,1,0,1386,0,1
686,47,4,2,0,2198,0,4
687,35,1,0,0,264,0,4
688,80,4,0,0,2145,0,0
689,30,9,2,0,334,1,4
690,55,9,1,0,1837,0,0
691,22,8,2,0,1206,1,0
692,33,1,0,0,823,0,0
693,53,2,1,0,302,0,1
694,49,4,2,0,1335,0,1
695,51,5,1,0,309,1,3
696,41,6,2,0,2126,0,0
697,34,9,1,0,274,0,0
698,36,1,1,0,601,1,2
699,35,2,2,0,274,0,0
700,29,7,1,0,277,0,0
701,40,9,2,0,698,0,0
702,32,4,2,0,1030,0,5
703,48,1,1,0,908,0,1
704,59,5,1,0,1130,0,0
705,35,6,2,0,1305,0,1
706,33,9,2,0,397,0,0
707,55,5,0,0,2238,0,0
708,41,1,1,0,683,0,0
709,42,3,0,0,2312,0,1
710,46,1,0,0,341,0,0
711,35,3,1,0,313,0,1
712,28,9,2,0,376,0,1
713,25,8,1,0,1476,0,0
714,56,4,2,0,2314,0,5
715,30,0,1,0,43,0,0
716,45,1,1,0,389,0,3
717,40,4,2,0,2267,0,2
718,40,1,1,0,746,0,1
719,39,1,1,0,1137,1,12
720,48,2,2,0,986,0,0
721,31,9,2,0,185,0,0
722,32,4,2,0,329,0,2
723,34,7,1,0,812,1,1
724,26,9,1,0,707,0,0
725,31,4,2,0,1113,0,2
726,37,4,2,0,756,0,0
727,29,8,1,0,1765,0,0
728,57,9,1,0,1793,1,2
729,47,4,2,0,426,0,1
730,38,6,1,0,1194,0,1
731,48,1,0,0,1167,1,0
732,50,4,2,0,1859,1,0
733,33,0,1,0,1203,0,1
734,28,0,1,0,300,0,1
735,30,7,1,0,796,0,0
736,52,9,1,0,474,0,1
737,36,9,1,0,730,0,0
738,36,9,1,0,1496,0,0
739,46,7,1,0,1131,0,1
740,57,4,2,0,1823,0,2
741,28,4,1,0,1424,0,0
742,46,7,1,0,274,0,0
743,55,5,0,0,1835,0,3
744,33,4,2,0,1943,1,0
745,53,4,1,0,340,1,0
746,41,9,1,0,244,1,0
747,60,1,1,0,584,0,0
748,35,2,0,0,1705,1,0
749,43,1,0,0,323,0,0
750,57,0,0,0,275,0,9
751,46,0,1,0,1797,0,8
752,31,1,0,0,613,0,8
753,53,9,1,0,339,0,1
754,35,1,1,0,1528,0,2
755,32,0,1,0,927,0,2
756,48,4,2,0,1210,1,0
757,50,0,1,0,501,0,1
758,40,1,0,0,1186,0,0
759,42,2,2,0,503,0,0
760,59,0,1,0,991,0,0
761,27,1,0,0,1181,0,3
762,32,4,2,0,1488,0,1
763,35,9,1,0,702,0,0
764,28,7,1,0,274,0,1
765,37,4,1,0,669,0,1
766,57,4,0,0,1143,0,3
767,42,0,1,0,1123,0,1
768,55,0,0,0,604,0,2
769,52,4,2,0,1526,0,2
770,26,1,1,0,249,1,5
771,52,9,1,0,1472,0,1
772,26,4,2,0,611,0,0
773,33,10,1,0,276,0,0
774,24,1,0,0,385,1,3
775,37,4,2,0,439,0,0
776,28,9,1,0,277,0,7
777,30,9,1,0,376,0,1
778,33,1,0,0,274,0,0
779,55,4,0,0,432,0,0
780,33,1,1,0,1185,0,1
781,42,1,1,0,613,0,2
782,37,4,2,0,1024,0,0
783,59,1,0,0,450,0,2
784,27,1,1,0,279,0,2
785,23,8,2,1,159,0,1
786,51,4,2,0,274,0,1
787,50,1,0,0,1925,0,1
788,43,9,1,0,947,0,4
789,37,1,0,0,757,0,0
790,34,4,2,0,1982,0,7
791,41,4,2,0,1782,0,2
792,26,8,1,0,543,0,2
793,49,4,2,0,1323,0,0
794,29,1,1,0,1051,0,0
795,30,4,2,0,435,0,3
796,38,7,1,0,972,0,0
797,58,4,1,0,385,0,1
798,34,8,1,0,1268,0,0
799,53,7,1,0,1115,0,1
800,50,4,2,0,1751,0,1
801,30,1,1,0,698,0,0
802,40,4,1,0,860,0,1
803,57,3,1,0,521,0,0
804,40,4,2,0,8,0,1
805,41,9,1,0,1574,1,2
806,53,9,1,0,847,0,0
807,48,1,1,0,171,1,3
808,32,9,1,0,537,0,1
809,34,4,2,0,906,0,0
810,46,1,1,0,168,0,2
811,45,7,1,0,362,1,0
812,51,0,2,0,290,0,0
813,31,4,1,0,716,0,0
814,47,9,1,0,225,0,0
815,32,1,1,0,708,0,0
816,41,9,1,0,351,0,0
817,37,7,1,0,154,0,0
818,27,1,0,0,1234,0,0
819,27,7,1,0,332,0,0
820,50,4,1,1,675,0,4
821,31,4,2,0,386,0,1
822,40,6,2,0,2301,0,0
823,43,4,2,0,1334,0,0
824,39,9,2,0,974,0,0
825,31,2,2,0,1530,0,2
826,48,9,1,0,706,0,0
827,32,1,0,0,1036,1,7
828,47,10,0,0,439,0,0
829,35,4,2,0,912,0,21
830,42,4,2,0,274,0,0
831,47,1,1,0,1544,0,1
832,59,5,1,0,436,0,0
833,38,0,1,0,1812,0,1
834,50,10,1,0,1471,0,3
835,27,7,1,0,187,0,1
836,55,3,0,0,290,0,0
837,39,7,1,0,2176,0,2
838,31,9,2,0,706,0,2
839,37,2,2,0,2033,0,1
840,28,9,1,1,135,0,6
841,42,9,1,0,693,0,1
842,40,7,1,0,1519,0,0
843,59,4,1,0,883,1,1
844,40,7,1,0,339,0,2
845,43,9,1,0,19,0,0
846,38,9,1,0,1984,0,1
847,54,5,0,0,274,0,1
848,41,1,1,0,2044,0,1
849,55,3,0,0,1091,0,0
850,33,4,2,0,421,0,0
